Date,Open,High,Low,Close,Adj Close,Volume
2020-03-24,52.480000,56.360001,51.400002,55.889999,54.429104,12678600
2020-03-25,56.840000,62.330002,56.200001,59.599998,58.042126,8719100
2020-03-26,59.009998,62.520000,58.849998,60.250000,58.675140,9265600
2020-03-27,57.590000,58.500000,55.939999,56.770000,55.286098,6212000
2020-03-30,57.250000,58.590000,55.619999,58.459999,56.931927,5642000
2020-03-31,58.110001,60.520000,58.110001,59.830002,58.266117,9112400
2020-04-01,57.230000,58.450001,56.770000,56.799999,55.315315,10721000
2020-04-02,57.000000,58.200001,56.110001,57.009998,55.519825,12564100
2020-04-03,56.770000,57.200001,55.200001,55.790001,54.331718,8432100
2020-04-06,57.230000,59.080002,57.220001,58.980000,57.438335,15700400
2020-04-07,61.310001,61.849998,59.450001,59.799999,58.236900,9068300
2020-04-08,59.490002,60.299999,58.310001,60.009998,59.223797,8469700
2020-04-09,60.200001,61.200001,59.380001,60.230000,59.440918,6241600
2020-04-13,60.240002,60.349998,58.419998,58.419998,57.654629,13003300
2020-04-14,59.250000,59.610001,57.779999,58.750000,57.980309,8089900
2020-04-15,57.599998,57.669998,56.599998,56.660000,55.917686,4138300
2020-04-16,56.750000,57.080002,54.520000,54.520000,53.805725,4961300
2020-04-17,56.500000,56.990002,55.610001,56.919998,56.174278,4358200
2020-04-20,55.240002,57.439999,54.759998,56.970001,56.223629,6014600
2020-04-21,55.459999,56.049999,54.490002,54.490002,53.776119,5669500
2020-04-22,55.500000,55.570000,54.549999,54.860001,54.141270,3629400
2020-04-23,54.950001,55.310001,54.310001,54.310001,53.598476,3520600
2020-04-24,54.500000,54.950001,53.919998,54.869999,54.151138,4146400
2020-04-27,55.180000,57.009998,54.639999,56.849998,56.105198,5360100
2020-04-28,57.860001,58.669998,57.720001,57.919998,57.161179,5709800
2020-04-29,58.910000,60.419998,58.900002,60.330002,59.539608,6141400
2020-04-30,59.490002,59.500000,58.000000,58.160000,57.398037,5922500
2020-05-01,57.650002,57.650002,56.650002,57.040001,56.292709,4318000
2020-05-04,56.540001,57.509998,56.090000,57.490002,56.736816,6140200
2020-05-05,58.650002,58.650002,56.779999,56.990002,56.243366,4678600
2020-05-06,57.400002,57.700001,56.470001,56.779999,56.036114,5864100
2020-05-07,57.029999,57.660000,56.119999,56.250000,55.513062,4010100
2020-05-08,56.950001,57.419998,56.380001,57.029999,56.282841,4026900
2020-05-11,56.650002,57.900002,56.279999,57.869999,57.111835,3170500
2020-05-12,57.910000,58.310001,56.700001,56.750000,56.006508,3461600
2020-05-13,56.939999,56.939999,54.570000,54.750000,54.032711,5546400
2020-05-14,54.000000,55.750000,53.189999,55.230000,54.506424,5406800
2020-05-15,54.880001,55.360001,54.560001,54.900002,54.180748,3196000
2020-05-19,56.910000,57.000000,55.450001,56.139999,55.404499,3401800
2020-05-20,57.000000,57.490002,56.599998,56.849998,56.105198,3071800
2020-05-21,56.650002,57.009998,55.970001,56.209999,55.473583,3346200
2020-05-22,56.259998,56.340000,54.799999,55.520000,54.792625,3341700
2020-05-25,55.950001,56.919998,55.630001,56.889999,56.144676,1986600
2020-05-26,57.580002,59.980000,57.369999,59.810001,59.026421,5162700
2020-05-27,60.509998,62.709999,60.509998,62.700001,61.878559,10295100
2020-05-28,62.720001,63.090000,60.119999,60.290001,59.500134,5806900
2020-05-29,59.590000,60.139999,58.750000,58.980000,58.207294,5364700
2020-06-01,59.110001,60.720001,59.110001,60.049999,59.263275,2592100
2020-06-02,60.790001,61.590000,60.299999,60.790001,59.993580,3366900
2020-06-03,61.889999,62.930000,61.700001,62.430000,61.612095,5583500
2020-06-04,62.480000,62.950001,61.549999,62.369999,61.552879,3449000
2020-06-05,64.440002,65.550003,64.389999,65.010002,64.158295,4558600
2020-06-08,66.150002,66.290001,65.019997,65.690002,64.829384,3616400
2020-06-09,64.699997,65.300003,64.129997,64.900002,64.049736,4662200
2020-06-10,64.699997,64.699997,63.599998,63.630001,62.796375,3975600
2020-06-11,61.349998,62.090000,60.470001,60.820000,60.023186,4897700
2020-06-12,62.590000,63.160000,61.810001,62.410000,61.592358,5885300
2020-06-15,61.000000,62.849998,60.759998,61.849998,61.039692,3221200
2020-06-16,63.799999,63.860001,61.990002,62.459999,61.641701,3665300
2020-06-17,62.529999,62.709999,61.689999,61.939999,61.128513,4552300
2020-06-18,61.380001,62.250000,61.240002,61.799999,60.990349,4354000
2020-06-19,62.439999,62.439999,61.330002,61.570000,60.763363,17477500
2020-06-22,61.400002,61.610001,60.900002,61.400002,60.595589,8405300
2020-06-23,62.090000,62.590000,61.139999,61.709999,60.901527,4529500
2020-06-24,61.299999,61.330002,60.009998,60.290001,59.500134,5458000
2020-06-25,60.000000,61.169998,59.840000,60.970001,60.171223,5400800
2020-06-26,60.360001,60.830002,59.240002,59.480000,58.700741,7405900
2020-06-29,59.849998,61.000000,59.799999,60.320000,59.529739,6670000
2020-06-30,59.849998,60.880001,59.639999,60.590000,59.796200,6683500
2020-07-02,61.080002,61.869999,60.450001,60.599998,59.806068,4981900
2020-07-03,60.610001,60.779999,60.240002,60.650002,59.855415,2531200
2020-07-06,61.730000,61.730000,60.720001,61.169998,60.368599,10917800
2020-07-07,60.919998,60.980000,60.080002,60.220001,59.431049,13366900
2020-07-08,60.330002,60.490002,59.580002,60.299999,59.509998,21774800
2020-07-09,59.330002,59.610001,58.279999,58.740002,58.740002,4423300
2020-07-10,58.750000,60.000000,58.750000,59.919998,59.919998,7248800
2020-07-13,60.099998,61.060001,59.619999,60.759998,60.759998,8992700
2020-07-14,60.680000,61.020000,60.040001,60.869999,60.869999,11968100
2020-07-15,61.279999,62.470001,61.279999,61.799999,61.799999,13560900
2020-07-16,61.220001,62.160000,61.139999,61.799999,61.799999,2985400
2020-07-17,61.830002,61.980000,61.439999,61.680000,61.680000,4067700
2020-07-20,61.410000,61.840000,61.090000,61.720001,61.720001,5821500
2020-07-21,61.919998,62.509998,61.860001,61.919998,61.919998,2203000
2020-07-22,61.619999,61.849998,61.320000,61.500000,61.500000,3365900
2020-07-23,61.410000,61.720001,61.040001,61.230000,61.230000,4464700
2020-07-24,61.000000,61.070000,60.270000,60.580002,60.580002,3475500
2020-07-27,60.160000,60.270000,59.540001,60.080002,60.080002,5723200
2020-07-28,59.810001,59.939999,59.410000,59.639999,59.639999,4873100
2020-07-29,59.639999,59.990002,59.000000,59.900002,59.900002,3465500
